,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
222,0,3,male,51.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
840,0,3,male,20.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
678,0,3,female,43.0,1,6,46.9,S,Third,woman,False,,Southampton,no,False
228,0,2,male,18.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
42,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
752,0,3,male,33.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
754,1,2,female,48.0,1,2,65.0,S,Second,woman,False,,Southampton,yes,False
400,1,3,male,39.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True
470,0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
467,0,1,male,56.0,0,0,26.55,S,First,man,True,,Southampton,no,True
235,0,3,female,,0,0,7.55,S,Third,woman,False,,Southampton,no,True
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False
763,1,1,female,36.0,1,2,120.0,S,First,woman,False,B,Southampton,yes,False
121,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
499,0,3,male,24.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True
824,0,3,male,2.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
635,1,2,female,28.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False
663,0,3,male,36.0,0,0,7.4958,S,Third,man,True,,Southampton,no,True
668,0,3,male,43.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False
209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True
483,1,3,female,63.0,0,0,9.5875,S,Third,woman,False,,Southampton,yes,True
417,1,2,female,18.0,0,2,13.0,S,Second,woman,False,,Southampton,yes,False
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
672,0,2,male,70.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
875,1,3,female,15.0,0,0,7.225,C,Third,child,False,,Cherbourg,yes,True
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
251,0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False
832,0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
601,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
522,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
415,0,3,female,,0,0,8.05,S,Third,woman,False,,Southampton,no,True
606,0,3,male,30.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
739,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
487,0,1,male,58.0,0,0,29.7,C,First,man,True,B,Cherbourg,no,True
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
405,0,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
805,0,3,male,31.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
890,0,3,male,32.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
335,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True
407,1,2,male,3.0,1,1,18.75,S,Second,child,False,,Southampton,yes,False
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
543,1,2,male,32.0,1,0,26.0,S,Second,man,True,,Southampton,yes,False
750,1,2,female,4.0,1,1,23.0,S,Second,child,False,,Southampton,yes,False
337,1,1,female,41.0,0,0,134.5,C,First,woman,False,E,Cherbourg,yes,True
497,0,3,male,,0,0,15.1,S,Third,man,True,,Southampton,no,True
233,1,3,female,5.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False
582,0,2,male,54.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
473,1,2,female,23.0,0,0,13.7917,C,Second,woman,False,D,Cherbourg,yes,True
868,0,3,male,,0,0,9.5,S,Third,man,True,,Southampton,no,True
581,1,1,female,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,yes,False
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
271,1,3,male,25.0,0,0,0.0,S,Third,man,True,,Southampton,yes,True
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False
281,0,3,male,28.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
616,0,3,male,34.0,1,1,14.4,S,Third,man,True,,Southampton,no,False
746,0,3,male,16.0,1,1,20.25,S,Third,man,True,,Southampton,no,False
853,1,1,female,16.0,0,1,39.4,S,First,woman,False,D,Southampton,yes,False
798,0,3,male,30.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
284,0,1,male,,0,0,26.0,S,First,man,True,A,Southampton,no,True
647,1,1,male,56.0,0,0,35.5,C,First,man,True,A,Cherbourg,yes,True
806,0,1,male,39.0,0,0,0.0,S,First,man,True,A,Southampton,no,True
667,0,3,male,,0,0,7.775,S,Third,man,True,,Southampton,no,True
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True
303,1,2,female,,0,0,12.35,Q,Second,woman,False,E,Queenstown,yes,True
742,1,1,female,21.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False
765,1,1,female,51.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
535,1,2,female,7.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True
695,0,2,male,52.0,0,0,13.5,S,Second,man,True,,Southampton,no,True
261,1,3,male,3.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False
855,1,3,female,18.0,0,1,9.35,S,Third,woman,False,,Southampton,yes,False
587,1,1,male,60.0,1,1,79.2,C,First,man,True,B,Cherbourg,yes,False
368,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
607,1,1,male,27.0,0,0,30.5,S,First,man,True,,Southampton,yes,True
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True
355,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
5,0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True
373,0,1,male,22.0,0,0,135.6333,C,First,man,True,,Cherbourg,no,True
411,0,3,male,,0,0,6.8583,Q,Third,man,True,,Queenstown,no,True
809,1,1,female,33.0,1,0,53.1,S,First,woman,False,E,Southampton,yes,False
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
694,0,1,male,60.0,0,0,26.55,S,First,man,True,,Southampton,no,True
269,1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True
593,0,3,female,,0,2,7.75,Q,Third,woman,False,,Queenstown,no,False
674,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
272,1,2,female,41.0,0,1,19.5,S,Second,woman,False,,Southampton,yes,False
644,1,3,female,0.75,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False
361,0,2,male,29.0,1,0,27.7208,C,Second,man,True,,Cherbourg,no,False
673,1,2,male,31.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True
311,1,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False
