,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
714,0,2,male,52.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
715,0,3,male,19.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
718,0,3,male,,0,0,15.5,Q,Third,man,True,,Queenstown,no,True
719,0,3,male,33.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
720,1,2,female,6.0,0,1,33.0,S,Second,child,False,,Southampton,yes,False
721,0,3,male,17.0,1,0,7.0542,S,Third,man,True,,Southampton,no,False
723,0,2,male,50.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
725,0,3,male,20.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
726,1,2,female,30.0,3,0,21.0,S,Second,woman,False,,Southampton,yes,False
728,0,2,male,25.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
729,0,3,female,25.0,1,0,7.925,S,Third,woman,False,,Southampton,no,False
730,1,1,female,29.0,0,0,211.3375,S,First,woman,False,B,Southampton,yes,True
734,0,2,male,23.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
737,1,1,male,35.0,0,0,512.3292,C,First,man,True,B,Cherbourg,yes,True
744,1,3,male,31.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True
745,0,1,male,70.0,1,1,71.0,S,First,man,True,B,Southampton,no,False
747,1,2,female,30.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
748,0,1,male,19.0,1,0,53.1,S,First,man,True,D,Southampton,no,False
751,1,3,male,6.0,0,1,12.475,S,Third,child,False,E,Southampton,yes,False
753,0,3,male,23.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
755,1,2,male,0.67,1,1,14.5,S,Second,child,False,,Southampton,yes,False
757,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True
759,1,1,female,33.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
760,0,3,male,,0,0,14.5,S,Third,man,True,,Southampton,no,True
761,0,3,male,41.0,0,0,7.125,S,Third,man,True,,Southampton,no,True
764,0,3,male,16.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
766,0,1,male,,0,0,39.6,C,First,man,True,,Cherbourg,no,True
767,0,3,female,30.5,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True
769,0,3,male,32.0,0,0,8.3625,S,Third,man,True,,Southampton,no,True
771,0,3,male,48.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
773,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
774,1,2,female,54.0,1,3,23.0,S,Second,woman,False,,Southampton,yes,False
777,1,3,female,5.0,0,0,12.475,S,Third,child,False,,Southampton,yes,True
779,1,1,female,43.0,0,1,211.3375,S,First,woman,False,B,Southampton,yes,False
780,1,3,female,13.0,0,0,7.2292,C,Third,child,False,,Cherbourg,yes,True
784,0,3,male,25.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
785,0,3,male,25.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
787,0,3,male,8.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
788,1,3,male,1.0,1,2,20.575,S,Third,child,False,,Southampton,yes,False
790,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
791,0,2,male,16.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
792,0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False
793,0,1,male,,0,0,30.6958,C,First,man,True,,Cherbourg,no,True
794,0,3,male,25.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
795,0,2,male,39.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
797,1,3,female,31.0,0,0,8.6833,S,Third,woman,False,,Southampton,yes,True
799,0,3,female,30.0,1,1,24.15,S,Third,woman,False,,Southampton,no,False
800,0,2,male,34.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
802,1,1,male,11.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False
804,1,3,male,27.0,0,0,6.975,S,Third,man,True,,Southampton,yes,True
807,0,3,female,18.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True
808,0,2,male,39.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
810,0,3,male,26.0,0,0,7.8875,S,Third,man,True,,Southampton,no,True
816,0,3,female,23.0,0,0,7.925,S,Third,woman,False,,Southampton,no,True
818,0,3,male,43.0,0,0,6.45,S,Third,man,True,,Southampton,no,True
819,0,3,male,10.0,3,2,27.9,S,Third,child,False,,Southampton,no,False
820,1,1,female,52.0,1,1,93.5,S,First,woman,False,B,Southampton,yes,False
822,0,1,male,38.0,0,0,0.0,S,First,man,True,,Southampton,no,True
825,0,3,male,,0,0,6.95,Q,Third,man,True,,Queenstown,no,True
826,0,3,male,,0,0,56.4958,S,Third,man,True,,Southampton,no,True
827,1,2,male,1.0,0,2,37.0042,C,Second,child,False,,Cherbourg,yes,False
828,1,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,yes,True
829,1,1,female,62.0,0,0,80.0,,First,woman,False,B,,yes,True
831,1,2,male,0.83,1,1,18.75,S,Second,child,False,,Southampton,yes,False
833,0,3,male,23.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
835,1,1,female,39.0,1,1,83.1583,C,First,woman,False,E,Cherbourg,yes,False
837,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
838,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
839,1,1,male,,0,0,29.7,C,First,man,True,C,Cherbourg,yes,True
841,0,2,male,16.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
842,1,1,female,30.0,0,0,31.0,C,First,woman,False,,Cherbourg,yes,True
843,0,3,male,34.5,0,0,6.4375,C,Third,man,True,,Cherbourg,no,True
844,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
845,0,3,male,42.0,0,0,7.55,S,Third,man,True,,Southampton,no,True
847,0,3,male,35.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
848,0,2,male,28.0,0,1,33.0,S,Second,man,True,,Southampton,no,False
849,1,1,female,,1,0,89.1042,C,First,woman,False,C,Cherbourg,yes,False
850,0,3,male,4.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
854,0,2,female,44.0,1,0,26.0,S,Second,woman,False,,Southampton,no,False
857,1,1,male,51.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True
858,1,3,female,24.0,0,3,19.2583,C,Third,woman,False,,Cherbourg,yes,False
859,0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
860,0,3,male,41.0,2,0,14.1083,S,Third,man,True,,Southampton,no,False
862,1,1,female,48.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
863,0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False
865,1,2,female,42.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
867,0,1,male,31.0,0,0,50.4958,S,First,man,True,A,Southampton,no,True
870,0,3,male,26.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
873,0,3,male,47.0,0,0,9.0,S,Third,man,True,,Southampton,no,True
876,0,3,male,20.0,0,0,9.8458,S,Third,man,True,,Southampton,no,True
880,1,2,female,25.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False
882,0,3,female,22.0,0,0,10.5167,S,Third,woman,False,,Southampton,no,True
883,0,2,male,28.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
884,0,3,male,25.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
887,1,1,female,19.0,0,0,30.0,S,First,woman,False,B,Southampton,yes,True
888,0,3,female,,1,2,23.45,S,Third,woman,False,,Southampton,no,False
889,1,1,male,26.0,0,0,30.0,C,First,man,True,C,Cherbourg,yes,True
